Student_Names,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Sravani Pandey,"04_CSR, 24_PROD, 13_CE",,,
Jakariya Kumar,"05_CSECS, 32_BC, 36_BSP",,,
Danish Divedi,Better luck next time,,,
Sukhdeo Rai,"09_ECE, 23_AEE, 26_AGRE",,,
Puspendar Seth,Better luck next time,,,
Shivanshu Gupta,Better luck next time,,,
Kalandi Thakur,"04_CSR, 24_PROD, 13_CE",,,
Shanaya Sonkar,Better luck next time,,,
Sabyasachi Yadav,"04_CSR, 24_PROD, 13_CE",,,
Apoorva Pratap,Better luck next time,,,
Chanti Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Rajendrakumar Singh,"05_CSECS, 32_BC, 36_BSP",,,
Aalia Vishwakarma,Better luck next time,,,
Tharma Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Minku Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Binal Srivastav,Better luck next time,,,
Manta Srivastav,"02_CSAI, 32_BC, 35_BSC",,,
Akela Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Lokendar Srivastav,"07_CSBS, 19_MECH, 27_DTE",,,
Md Khan Rao,"04_CSR, 24_PROD, 13_CE",,,
Jeetlal Vishwakarma,Better luck next time,,,
Krishna Yadav Singh,Better luck next time,,,
Muntun Srivastav,"04_CSR, 24_PROD, 13_CE",,,
Maneet Seth,"02_CSAI, 32_BC, 35_BSC",,,
Radharani Pandit,"05_CSECS, 32_BC, 36_BSP",,,
Pinto Divedi,Better luck next time,,,
Preetam Singh,Better luck next time,,,
Desh Raj Gupta,"02_CSAI, 32_BC, 35_BSC",,,
Pradeep Kumar Gupta,"04_CSR, 24_PROD, 13_CE",,,
Vishalkumar Rai,"28_METE, 29_TEXE, 31_POLE",,,
Yashas Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Pyare Lal Tiwari,"04_CSR, 24_PROD, 13_CE",,,
Atif Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
संजीव Tiwari,Better luck next time,,,
Karambir Maurrya,Better luck next time,,,
Shambhunath Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Dheeraj Kumar Rao,"28_METE, 29_TEXE, 31_POLE",,,
Hima Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Popu Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Roshni Divedi,Better luck next time,,,
Dulan Maurrya,Better luck next time,,,
Md Anjar Mishra,Better luck next time,,,
Savai Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Selvan Gupta,Better luck next time,,,
Punit Vishwakarma,"07_CSBS, 19_MECH, 27_DTE",,,
Shah Alam Thakur,"02_CSAI, 32_BC, 35_BSC",,,
Mitrabhanu Thakur,Better luck next time,,,
Ashrita Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Pratim Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Tuleshwar Devi,Better luck next time,,,
Debanjan Singh,"02_CSAI, 32_BC, 35_BSC",,,
Swami Lakshman Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Noopur Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Premalatha Thakur,"04_CSR, 24_PROD, 13_CE",,,
Baasima Thakur,"04_CSR, 24_PROD, 13_CE",,,
Hasanur Mishra,"02_CSAI, 32_BC, 35_BSC",,,
Guguloth Pandey,Better luck next time,,,
Vijay Singh Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Kifayat Tiwari,Better luck next time,,,
Wazir Rai,"02_CSAI, 32_BC, 35_BSC",,,
Shiri Divedi,Better luck next time,,,
Kaberi Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Mull Mishra,"07_CSBS, 19_MECH, 27_DTE",,,
Tajpal Seth,Better luck next time,,,
Harihar Seth,Better luck next time,,,
Sanoj Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Vikash Kumar Srivastav,"07_CSBS, 19_MECH, 27_DTE",,,
Ramkrushna Vishwakarma,Better luck next time,,,
Ketki Mishra,Better luck next time,,,
Gangadar Rao,Better luck next time,,,
Papuram Yadav,"04_CSR, 24_PROD, 13_CE",,,
Badruddin Rao,"28_METE, 29_TEXE, 31_POLE",,,
Keerthi Seth,Better luck next time,,,
Amulu Rao,"05_CSECS, 32_BC, 36_BSP",,,
Rushab Pandit,Better luck next time,,,
Nimit Singh,"28_METE, 29_TEXE, 31_POLE",,,
Atikur Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Alom Pandey,"07_CSBS, 19_MECH, 27_DTE",,,
Dulari Thakur,"04_CSR, 24_PROD, 13_CE",,,
Vishwas Thakur,Better luck next time,,,
Satbir Kumar,Better luck next time,,,
Take Pandit,Better luck next time,,,
Ushaben Srivastav,Better luck next time,,,
Bhagabat Rao,Better luck next time,,,
Shiek Seth,"28_METE, 29_TEXE, 31_POLE",,,
Thimma Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Ibomcha Tiwari,Better luck next time,,,
Darji Rajput,Better luck next time,,,
Dashrath Thakur,Better luck next time,,,
Aayat Devi,"15_CHE, 16_BIOE, 25_FPT",,,
Makrand Rai,"28_METE, 29_TEXE, 31_POLE",,,
Santush Rajput,Better luck next time,,,
Asawari Pandit,Better luck next time,,,
Ringku Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Dulari Srivastav,"01_CSE, 08_ESE, 22_EEE",,,
Gautama Seth,Better luck next time,,,
Pawan Raj Seth,"05_CSECS, 32_BC, 36_BSP",,,
Baldaniya Pandit,"15_CHE, 16_BIOE, 25_FPT",,,
Krishna Prasad Gupta,"04_CSR, 24_PROD, 13_CE",,,
Mitra Rajput,"05_CSECS, 32_BC, 36_BSP",,,
Nagendrababu Pandit,"28_METE, 29_TEXE, 31_POLE",,,
Safik Mishra,"04_CSR, 24_PROD, 13_CE",,,
Girindra Mishra,"04_CSR, 24_PROD, 13_CE",,,
ಮಂಜು Rai,"05_CSECS, 32_BC, 36_BSP",,,
Jay Ram Seth,"02_CSAI, 32_BC, 35_BSC",,,
Sharad Pratap,Better luck next time,,,
Rayma Seth,"03_CSDS, 10_EE, 11_ME",,,
Subba Pandit,Better luck next time,,,
Pranab Jyoti Pandey,Better luck next time,,,
Ersad Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Pankj Pandit,"28_METE, 29_TEXE, 31_POLE",,,
K K Singh,"02_CSAI, 32_BC, 35_BSC",,,
Siddiqui Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Dileswar Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Arunraj Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Vikramkumar Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Sher Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Kayam Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Kamleshbhai Rai,Better luck next time,,,
Kamli Tiwari,"02_CSAI, 32_BC, 35_BSC",,,
Girilal Maurya,Better luck next time,,,
Sna Srivastav,Better luck next time,,,
Sanidul Rajput,Better luck next time,,,
Lmran Rai,"28_METE, 29_TEXE, 31_POLE",,,
Sanhita Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Kansingh Seth,"02_CSAI, 32_BC, 35_BSC",,,
Ajaj Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Raja Yadav Rajput,"09_ECE, 23_AEE, 26_AGRE",,,
Likhitha Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Harikrishna Divedi,"09_ECE, 23_AEE, 26_AGRE",,,
मनिष Gupta,"09_ECE, 23_AEE, 26_AGRE",,,
Mudu Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Ask Divedi,Better luck next time,,,
Gafur Srivastav,Better luck next time,,,
Mohd Shafi Pandey,"09_ECE, 23_AEE, 26_AGRE",,,
Hargovind Pandit,Better luck next time,,,
Neetish Pandit,Better luck next time,,,
Aakil Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Simi Seth,"04_CSR, 24_PROD, 13_CE",,,
Upadhyay Kumari,Better luck next time,,,
Tanima Seth,"28_METE, 29_TEXE, 31_POLE",,,
Yog Raj Seth,Better luck next time,,,
Ambresh Rao,"05_CSECS, 32_BC, 36_BSP",,,
Amudha Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Vikashkumar Kumar,"07_CSBS, 19_MECH, 27_DTE",,,
Baluram Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Jaspal Rai,Better luck next time,,,
Malleswari Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Ur Seth,"05_CSECS, 32_BC, 36_BSP",,,
Bharatsinh Singh,Better luck next time,,,
Thota Mishra,"04_CSR, 24_PROD, 13_CE",,,
Sharwan Kumar Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Neeroo Yadav,Better luck next time,,,
Shrikanth Rao,"04_CSR, 24_PROD, 13_CE",,,
Kutubuddin Mishra,Better luck next time,,,
Sahdev Yadav,"02_CSAI, 32_BC, 35_BSC",,,
Deenesh Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Shubhas Devi,"28_METE, 29_TEXE, 31_POLE",,,
Akshaya Rao,"05_CSECS, 32_BC, 36_BSP",,,
लखन Vishwakarma,Better luck next time,,,
Rishita Pandit,"04_CSR, 24_PROD, 13_CE",,,
Saiteja Thakur,Better luck next time,,,
Appu Thakur,"04_CSR, 24_PROD, 13_CE",,,
Golu Kumar Maurrya,"05_CSECS, 32_BC, 36_BSP",,,
Jenis Yadav,Better luck next time,,,
Abdus Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Saidur Tiwari,"04_CSR, 24_PROD, 13_CE",,,
Omkar Srivastav,"04_CSR, 24_PROD, 13_CE",,,
Suyog Srivastav,Better luck next time,,,
Rajkaran Kumar,Better luck next time,,,
विकाश Rai,Better luck next time,,,
Dillep Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Nivruti Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Jinat Yadav,Better luck next time,,,
Charmi Vishwakarma,Better luck next time,,,
Susai Pandey,"05_CSECS, 32_BC, 36_BSP",,,
Motiur Rao,"28_METE, 29_TEXE, 31_POLE",,,
Srinuvas Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Asmit Rao,Better luck next time,,,
भावेश Devi,"28_METE, 29_TEXE, 31_POLE",,,
Gurmej Srivastav,"05_CSECS, 32_BC, 36_BSP",,,
Devanshi Devi,"07_CSBS, 19_MECH, 27_DTE",,,
Swarnalata Pandey,Better luck next time,,,
Aspak Sonkar,Better luck next time,,,
Shetal Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Sujita Kumar,Better luck next time,,,
Vikesh Vishwakarma,"05_CSECS, 32_BC, 36_BSP",,,
Thambi Vishwakarma,Better luck next time,,,
Dharmendra Tiwari,Better luck next time,,,
Chote Tiwari,Better luck next time,,,
Remo Kumar,Better luck next time,,,
मनीषा Tiwari,"07_CSBS, 19_MECH, 27_DTE",,,
Saumya Singh,"09_ECE, 23_AEE, 26_AGRE",,,
Niyamat Mishra,"04_CSR, 24_PROD, 13_CE",,,
Surya Rai,Better luck next time,,,
Sunni Pandey,Better luck next time,,,
Sultan Khan Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Hirendra Maurya,Better luck next time,,,
Achal Rao,Better luck next time,,,
Nimay Rai,Better luck next time,,,
Vikram Singh Rajput,"02_CSAI, 32_BC, 35_BSC",,,
Badre Pratap,Better luck next time,,,
Shreyash Pratap,Better luck next time,,,
Swarnali Pandey,"07_CSBS, 19_MECH, 27_DTE",,,
Panday Vishwakarma,"04_CSR, 24_PROD, 13_CE",,,
Hunny Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Shylaja Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Priyadarshani Pandey,Better luck next time,,,
Valand Rai,Better luck next time,,,
Dharamdev Pandit,Better luck next time,,,
Sakaldeep Gupta,Better luck next time,,,
Ilayaraja Pratap,"01_CSE, 08_ESE, 22_EEE",,,
Kajal Singh Tiwari,Better luck next time,,,
Mukthar Kumari,"04_CSR, 24_PROD, 13_CE",,,
Snehasish Pandey,Better luck next time,,,
Yashi Kumari,Better luck next time,,,
Mausumi Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
नवनाथ Rao,Better luck next time,,,
Nurhasan Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Sunil Sunil Tiwari,"05_CSECS, 32_BC, 36_BSP",,,
Ninu Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
आरिफ Mishra,Better luck next time,,,
Sohidur Kumar,"28_METE, 29_TEXE, 31_POLE",,,
विशाल Yadav,"15_CHE, 16_BIOE, 25_FPT",,,
Tripati Mishra,"07_CSBS, 19_MECH, 27_DTE",,,
Bhavani Srivastav,"04_CSR, 24_PROD, 13_CE",,,
Mahommad Seth,"09_ECE, 23_AEE, 26_AGRE",,,
Zankhana Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Dharmveer Rai,"07_CSBS, 19_MECH, 27_DTE",,,
Shivam Mishra,"04_CSR, 24_PROD, 13_CE",,,
Jasobanta Pratap,Better luck next time,,,
Ujjwal Rao,"28_METE, 29_TEXE, 31_POLE",,,
Suban Yadav,Better luck next time,,,
Mohan Singh Yadav,Better luck next time,,,
Ramdhani Gupta,Better luck next time,,,
Tulsi Rao,"01_CSE, 08_ESE, 22_EEE",,,
Pijus Mishra,Better luck next time,,,
Iliyas Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Aku Thakur,Better luck next time,,,
Moti Lal Rajput,Better luck next time,,,
Priya Ranjan Divedi,"04_CSR, 24_PROD, 13_CE",,,
Rameshchand Vishwakarma,Better luck next time,,,
Mohanbhai Rao,"02_CSAI, 32_BC, 35_BSC",,,
Sattu Devi,"05_CSECS, 32_BC, 36_BSP",,,
पारस Pandey,Better luck next time,,,
Veerakumar Vishwakarma,Better luck next time,,,
Aayushi Tiwari,Better luck next time,,,
Budharam Kumar,"04_CSR, 24_PROD, 13_CE",,,
Zaved Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Taufeeq Pandey,Better luck next time,,,
Srikar Kumari,"02_CSAI, 32_BC, 35_BSC",,,
Dadasaheb Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Tanu Tiwari,Better luck next time,,,
Surendrakumar Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Gorelal Pratap,Better luck next time,,,
Firdosh Tiwari,"04_CSR, 24_PROD, 13_CE",,,
Hemil Rao,"05_CSECS, 32_BC, 36_BSP",,,
Navjot Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Gajvadan Vishwakarma,Better luck next time,,,
Mp Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Jashwanth Devi,"07_CSBS, 19_MECH, 27_DTE",,,
Jhuna Gupta,Better luck next time,,,
Abbu Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Himank Seth,"28_METE, 29_TEXE, 31_POLE",,,
Avnish Yadav,Better luck next time,,,
Rajendhar Seth,Better luck next time,,,
Sehaj Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Sreejith Mishra,"04_CSR, 24_PROD, 13_CE",,,
Pavi Rajput,Better luck next time,,,
Istiyak Gupta,"04_CSR, 24_PROD, 13_CE",,,
Cutee Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Hasu Thakur,"07_CSBS, 19_MECH, 27_DTE",,,
Bhagvant Thakur,"07_CSBS, 19_MECH, 27_DTE",,,
Srabani Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Rekhaben Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Abhishek Kumar Yadav,Better luck next time,,,
Ali Khan Seth,Better luck next time,,,
Riti Kumari,Better luck next time,,,
Dlip Pandit,"07_CSBS, 19_MECH, 27_DTE",,,
Vimal Kumar Thakur,Better luck next time,,,
Anoj Rai,"28_METE, 29_TEXE, 31_POLE",,,
Adity Singh,Better luck next time,,,
कट्टर Pandey,"28_METE, 29_TEXE, 31_POLE",,,
राजन Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Rizwaan Seth,Better luck next time,,,
Harindra Srivastav,"04_CSR, 24_PROD, 13_CE",,,
Shiv Pratap Pandey,"07_CSBS, 19_MECH, 27_DTE",,,
Aashi Maurya,Better luck next time,,,
தினேஷ் Devi,"04_CSR, 24_PROD, 13_CE",,,
Khurseed Kumari,"04_CSR, 24_PROD, 13_CE",,,
Tirth Gupta,"04_CSR, 24_PROD, 13_CE",,,
Tanush Divedi,Better luck next time,,,
Darvesh Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Lipu Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Ranesh Pandey,Better luck next time,,,
Santoshkumar Divedi,Better luck next time,,,
Ruchit Thakur,Better luck next time,,,
Likhith Kumari,Better luck next time,,,
Josim Vishwakarma,Better luck next time,,,
Mohit Kumar Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Supriya Kumari,Better luck next time,,,
Avdesh Pratap,"28_METE, 29_TEXE, 31_POLE",,,
ईशवर Maurya,Better luck next time,,,
Inderpal Thakur,Better luck next time,,,
Zakeer Maurya,Better luck next time,,,
Lk Rai,Better luck next time,,,
Dhiran Kumar,"04_CSR, 24_PROD, 13_CE",,,
Mayawati Maurrya,Better luck next time,,,
Kishlay Seth,Better luck next time,,,
Baap Vishwakarma,Better luck next time,,,
Uttara Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Kumar Sonu Rao,Better luck next time,,,
Jaskaran Vishwakarma,Better luck next time,,,
Hansa Devi,Better luck next time,,,
Vilesh Rai,Better luck next time,,,
Sashikanta Maurya,Better luck next time,,,
Mamuani Thakur,"15_CHE, 16_BIOE, 25_FPT",,,
Sahruk Pandit,Better luck next time,,,
Bholi Thakur,Better luck next time,,,
Jiganesh Kumar,Better luck next time,,,
साहिल Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Nailesh Pandey,"04_CSR, 24_PROD, 13_CE",,,
विकास Mishra,"07_CSBS, 19_MECH, 27_DTE",,,
Jhumpa Kumar,Better luck next time,,,
Manisha Kumari Yadav,"28_METE, 29_TEXE, 31_POLE",,,
सरवण Pandey,Better luck next time,,,
Mandira Mishra,Better luck next time,,,
Tamilselvi Tiwari,"05_CSECS, 32_BC, 36_BSP",,,
Prawin Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Khilendra Sonkar,Better luck next time,,,
Abhi Thakur,Better luck next time,,,
Kaluram Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Mithila Devi,"07_CSBS, 19_MECH, 27_DTE",,,
Haresh Tiwari,Better luck next time,,,
Sunep Divedi,"07_CSBS, 19_MECH, 27_DTE",,,
Chhaganlal Mishra,Better luck next time,,,
Sourya Rajput,Better luck next time,,,
Prasanto Tiwari,Better luck next time,,,
Rizwan Khan Yadav,Better luck next time,,,
Nempal Pandey,Better luck next time,,,
Ashmit Pandit,Better luck next time,,,
Muniyappan Mishra,Better luck next time,,,
Sange Devi,Better luck next time,,,
Rb Vishwakarma,Better luck next time,,,
Sulaman Rai,Better luck next time,,,
Mlm Srivastav,Better luck next time,,,
Mamatha Kumari,Better luck next time,,,
Sangey Maurya,Better luck next time,,,
Mabiaki Pandey,Better luck next time,,,
Nanke Divedi,"02_CSAI, 32_BC, 35_BSC",,,
Kokila Srivastav,"05_CSECS, 32_BC, 36_BSP",,,
Manoj Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Shiwani Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Marak Rajput,Better luck next time,,,
Sarika Tiwari,Better luck next time,,,
Santhosh Kumar Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Kishorsinh Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Porimal Sonkar,"05_CSECS, 32_BC, 36_BSP",,,
Saurav Maurya,"04_CSR, 24_PROD, 13_CE",,,
Kavitha Sonkar,Better luck next time,,,
Balli Vishwakarma,Better luck next time,,,
Soleman Divedi,Better luck next time,,,
Priyanshee Devi,Better luck next time,,,
Karthik Yadav,Better luck next time,,,
Mandal Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Pushap Pandit,"28_METE, 29_TEXE, 31_POLE",,,
Nrisingh Tiwari,Better luck next time,,,
Vg Seth,Better luck next time,,,
Shivsagar Rao,"04_CSR, 24_PROD, 13_CE",,,
Sawai Singh,"28_METE, 29_TEXE, 31_POLE",,,
Sainur Rai,"28_METE, 29_TEXE, 31_POLE",,,
Krashna Srivastav,"07_CSBS, 19_MECH, 27_DTE",,,
Sridhar Srivastav,"09_ECE, 23_AEE, 26_AGRE",,,
Prashansa Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Chinu Rao,"05_CSECS, 32_BC, 36_BSP",,,
Md Arman Pandit,Better luck next time,,,
Hardas Pandey,"05_CSECS, 32_BC, 36_BSP",,,
Krish Seth,"07_CSBS, 19_MECH, 27_DTE",,,
Mubark Mishra,Better luck next time,,,
Noddy Divedi,Better luck next time,,,
Ajay Bhai Gupta,Better luck next time,,,
Ninu Sonkar,Better luck next time,,,
Affan Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Jeeva Yadav,Better luck next time,,,
Rahaman Singh,Better luck next time,,,
Rambaran Pandey,Better luck next time,,,
Manish Singh Maurrya,"04_CSR, 24_PROD, 13_CE",,,
Gauri Tiwari,Better luck next time,,,
Jadeja Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Ojha Rai,"05_CSECS, 32_BC, 36_BSP",,,
Rajlakshmi Pandit,"28_METE, 29_TEXE, 31_POLE",,,
Arij Tiwari,Better luck next time,,,
Popat Kumar,Better luck next time,,,
Meeta Thakur,"05_CSECS, 32_BC, 36_BSP",,,
Soman Rai,"05_CSECS, 32_BC, 36_BSP",,,
Lal Babu Rao,"28_METE, 29_TEXE, 31_POLE",,,
Aprajita Pandey,Better luck next time,,,
Kaviraj Thakur,Better luck next time,,,
Sebastin Divedi,Better luck next time,,,
Ahad Kumar,"02_CSAI, 32_BC, 35_BSC",,,
Nimish Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Kesar Srivastav,Better luck next time,,,
Bhadrak Rao,"04_CSR, 24_PROD, 13_CE",,,
Raftar Tiwari,Better luck next time,,,
Peeru Vishwakarma,Better luck next time,,,
Md Javed Rao,"05_CSECS, 32_BC, 36_BSP",,,
Laxmanbhai Rao,Better luck next time,,,
Ajy Vishwakarma,Better luck next time,,,
J P Rao,Better luck next time,,,
Dinabandhu Mishra,"07_CSBS, 19_MECH, 27_DTE",,,
Rajesh Thakur Seth,Better luck next time,,,
Abhinab Divedi,Better luck next time,,,
Ajay Raj Vishwakarma,"02_CSAI, 32_BC, 35_BSC",,,
Mijanur Tiwari,Better luck next time,,,
Shushil Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Kashmiri Seth,"28_METE, 29_TEXE, 31_POLE",,,
Vishav Singh,"28_METE, 29_TEXE, 31_POLE",,,
तुषार Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Sanni Pandey,"07_CSBS, 19_MECH, 27_DTE",,,
Nilofer Seth,"28_METE, 29_TEXE, 31_POLE",,,
Kani Thakur,"04_CSR, 24_PROD, 13_CE",,,
Basayya Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Nang Rajput,"04_CSR, 24_PROD, 13_CE",,,
Ravi Kumar Mishra,Better luck next time,,,
Asokan Thakur,"04_CSR, 24_PROD, 13_CE",,,
Bachhu Mishra,"02_CSAI, 32_BC, 35_BSC",,,
Satynarayan Tiwari,"05_CSECS, 32_BC, 36_BSP",,,
Srabanti Divedi,Better luck next time,,,
Shrestha Divedi,"04_CSR, 24_PROD, 13_CE",,,
Malatesh Srivastav,Better luck next time,,,
Venkateshwarlu Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Saidul Gupta,"04_CSR, 24_PROD, 13_CE",,,
Thilak Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Farjana Tiwari,Better luck next time,,,
Ram Krishna Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Parasappa Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Bhola Singh Pandey,"15_CHE, 16_BIOE, 25_FPT",,,
Harindar Tiwari,"03_CSDS, 10_EE, 11_ME",,,
Princi Gupta,"02_CSAI, 32_BC, 35_BSC",,,
Liji Seth,"07_CSBS, 19_MECH, 27_DTE",,,
Risha Rajput,Better luck next time,,,
Khesari Pratap,Better luck next time,,,
Triveni Kumar,"04_CSR, 24_PROD, 13_CE",,,
Nanne Vishwakarma,Better luck next time,,,
Mani Kanta Rajput,Better luck next time,,,
Lakhya Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Ishu Srivastav,Better luck next time,,,
Sethi Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Pradeep Srivastav,Better luck next time,,,
Ganesh Kumar Mishra,"05_CSECS, 32_BC, 36_BSP",,,
Kajol Divedi,Better luck next time,,,
Sani Kumar Maurya,Better luck next time,,,
Maithili Rai,Better luck next time,,,
Sewak Rao,Better luck next time,,,
Ranita Thakur,"07_CSBS, 19_MECH, 27_DTE",,,
Kaira Pandit,"04_CSR, 24_PROD, 13_CE",,,
Ramashish Tiwari,"09_ECE, 23_AEE, 26_AGRE",,,
Siddaram Rao,Better luck next time,,,
Nashir Rai,Better luck next time,,,
Barjesh Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Parshuram Thakur,Better luck next time,,,
Budhia Rai,"07_CSBS, 19_MECH, 27_DTE",,,
Harilal Yadav,"07_CSBS, 19_MECH, 27_DTE",,,
Mustakin Devi,Better luck next time,,,
Keshab Seth,"02_CSAI, 32_BC, 35_BSC",,,
Misthi Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Prabal Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Rajjan Rao,Better luck next time,,,
Bimala Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Bishwanath Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Md Nasim Maurrya,"04_CSR, 24_PROD, 13_CE",,,
Faijul Singh,"02_CSAI, 32_BC, 35_BSC",,,
Daksha Mishra,"15_CHE, 16_BIOE, 25_FPT",,,
Adiba Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Anurupa Tiwari,Better luck next time,,,
Md Rafik Rajput,Better luck next time,,,
Birjesh Kumari,"07_CSBS, 19_MECH, 27_DTE",,,
Indramani Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Kiru Rajput,"04_CSR, 24_PROD, 13_CE",,,
Usuf Singh,"28_METE, 29_TEXE, 31_POLE",,,
Rupjyoti Thakur,Better luck next time,,,
Dakshesh Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Srinidhi Rajput,"09_ECE, 23_AEE, 26_AGRE",,,
Ayushi Thakur,"09_ECE, 23_AEE, 26_AGRE",,,
Mahalaxmi Mishra,Better luck next time,,,
Md Abdul Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Vardhan Tiwari,Better luck next time,,,
Harekrishna Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Bhaskara Sonkar,Better luck next time,,,
Sribash Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Babun Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Srisha Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Cheenu Devi,"28_METE, 29_TEXE, 31_POLE",,,
Nanku Mishra,Better luck next time,,,
Preity Maurya,Better luck next time,,,
Goolu Thakur,Better luck next time,,,
Prit Rajput,"04_CSR, 24_PROD, 13_CE",,,
Angad Kumar Srivastav,Better luck next time,,,
Hira Lal Tiwari,Better luck next time,,,
Vishwakarma Maurrya,Better luck next time,,,
Hem Singh Seth,"28_METE, 29_TEXE, 31_POLE",,,
Priyatam Rai,Better luck next time,,,
