Student_Names,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment
Saikh Yadav,9,Yes,20,35,81,D,Poor Pursuance
Rasik Seth,9,Yes,76,11,44,D,Poor Pursuance
Prateeksha Kumar,3,No,47,26,72,D,Poor Pursuance
Drupad Thakur,8,No,20,93,19,D,Poor Pursuance
Dinsh Rao,8,Yes,40,22,35,F,Failed
Pushap Rajput,10,Yes,84,88,64,B+,Good Pursuance
Dayalal Mishra,3,Yes,38,37,67,D,Poor Pursuance
Ganash Pratap,1,No,69,90,10,C,Below Average Achivement
Bapan Gupta,5,Yes,76,11,79,C,Below Average Achivement
Yogendra Kumar Gupta,4,No,77,83,57,B+,Good Pursuance
Bijon Yadav,2,No,42,77,13,D,Poor Pursuance
Abdul Rashid Srivastav,5,No,81,98,84,A,Very Good Achivement
Kumawat Pandit,3,Yes,30,10,61,D,Poor Pursuance
Bhatti Yadav,5,Yes,23,11,33,F,Failed
Summit Tiwari,1,No,21,39,27,F,Failed
Adit Divedi,6,No,64,91,86,B+,Good Pursuance
Brajraaj Maurya,10,Yes,97,90,84,A,Very Good Achivement
Vishwamitra Thakur,3,No,26,83,55,C,Below Average Achivement
Gajkaran Vishwakarma,9,No,42,17,81,D,Poor Pursuance
Tilakram Divedi,4,No,45,11,56,D,Poor Pursuance
Zuhaib Singh,6,No,21,20,79,D,Poor Pursuance
Bankimchandra Rajput,8,No,19,15,14,F,Failed
Thoker Divedi,1,Yes,43,14,16,F,Failed
Md Rustam Gupta,9,Yes,43,36,14,F,Failed
Amish Kumar,6,No,80,54,77,B,Average Performance
Keshaba Maurya,10,No,63,93,93,A,Very Good Achivement
Nepal Rao,6,Yes,95,75,54,B+,Good Pursuance
Adinath Rajput,1,No,36,96,73,B,Average Performance
Keshaw Singh,6,No,56,18,74,D,Poor Pursuance
Bijender Kumari,10,Yes,45,30,70,D,Poor Pursuance
Pavankumar Maurya,9,No,52,72,25,D,Poor Pursuance
Minam Gupta,2,No,85,22,36,D,Poor Pursuance
Ejaj Pratap,6,Yes,32,14,18,F,Failed
Ajay Singh Rao,5,Yes,67,45,26,D,Poor Pursuance
Aagam Srivastav,6,No,94,63,31,B,Average Performance
Satwant Srivastav,7,No,27,78,29,D,Poor Pursuance
Jamna Gupta,1,Yes,95,95,18,B,Average Performance
बबलु Seth,9,No,98,28,64,B,Average Performance
Rehmat Rai,6,Yes,96,71,12,C,Below Average Achivement
Sumar Rao,3,Yes,93,99,37,B+,Good Pursuance
Atit Pandey,10,Yes,64,70,93,B+,Good Pursuance
Yamanur Singh,2,No,98,56,64,B+,Good Pursuance
Prem Raj Rajput,4,No,98,93,22,B+,Good Pursuance
Tribhuwan Maurya,4,Yes,51,98,91,B+,Good Pursuance
Tanmoy Srivastav,6,Yes,24,72,51,D,Poor Pursuance
Sibnath Kumari,2,No,63,35,57,C,Below Average Achivement
Sajjad Mishra,8,No,41,99,62,B,Average Performance
Mohir Devi,10,No,24,53,78,C,Below Average Achivement
Jyotirmayee Pandey,2,Yes,31,22,60,D,Poor Pursuance
Achchhelal Devi,8,No,70,52,97,B+,Good Pursuance
Suneet Srivastav,9,No,71,82,39,B,Average Performance
Rakshu Srivastav,1,No,22,16,46,F,Failed
Rajesh Bhai Rajput,6,No,67,38,49,C,Below Average Achivement
Md Niyaz Tiwari,6,No,45,90,70,B,Average Performance
Shameem Pandit,5,Yes,65,23,67,C,Below Average Achivement
Nabajyoti Singh,1,Yes,84,98,56,B+,Good Pursuance
Nandlal Kumar Pratap,3,No,76,88,62,B+,Good Pursuance
Puttaswamy Rai,7,No,83,81,64,B+,Good Pursuance
Bidyadhar Rao,5,No,47,97,13,C,Below Average Achivement
Bisal Tiwari,5,Yes,35,70,54,C,Below Average Achivement
Nilufa Divedi,6,No,36,19,34,F,Failed
Gnesh Vishwakarma,1,Yes,45,91,14,D,Poor Pursuance
Mathu Vishwakarma,2,Yes,85,15,68,C,Below Average Achivement
Niraj Singh Rai,8,No,26,75,63,C,Below Average Achivement
Md Mumtaj Seth,2,Yes,32,19,34,F,Failed
Moin Kumar,10,No,38,39,13,F,Failed
Sk Khan Maurya,7,No,74,32,52,C,Below Average Achivement
Jubaraj Divedi,1,Yes,28,42,33,D,Poor Pursuance
Narayanaswamy Sonkar,2,No,47,12,80,D,Poor Pursuance
Dayanita Vishwakarma,5,Yes,81,59,47,B,Average Performance
Poshan Maurya,3,No,47,93,35,C,Below Average Achivement
Surendar Kumar Mishra,4,No,95,58,82,B+,Good Pursuance
Nit Mishra,3,No,90,52,82,B+,Good Pursuance
Kirit Maurya,6,No,100,93,61,A,Very Good Achivement
Shyam Sundar Divedi,7,No,24,94,13,D,Poor Pursuance
Rajes Sonkar,10,No,58,84,82,B+,Good Pursuance
Sarfaraj Rajput,8,Yes,59,35,57,D,Poor Pursuance
Laden Kumar,5,No,35,79,21,D,Poor Pursuance
Shafat Pandey,9,No,81,70,66,B+,Good Pursuance
Achchhelal Rajput,1,No,20,55,50,D,Poor Pursuance
Sunder Yadav,8,No,38,71,16,D,Poor Pursuance
Sangpuii Sonkar,4,Yes,51,90,48,B,Average Performance
Aash Mishra,5,No,48,46,65,C,Below Average Achivement
Sonil Rao,9,Yes,12,75,28,D,Poor Pursuance
Balakram Singh,6,Yes,38,100,92,B+,Good Pursuance
Pompa Sonkar,6,No,38,24,14,F,Failed
Muneshwar Srivastav,8,Yes,38,35,97,C,Below Average Achivement
Akbar Maurrya,8,No,70,19,18,D,Poor Pursuance
Tulu Rao,6,Yes,55,56,79,B,Average Performance
Sankha Sonkar,8,Yes,42,27,36,D,Poor Pursuance
Anjushri Rajput,8,Yes,63,32,25,D,Poor Pursuance
Priyadarsini Mishra,10,No,17,48,84,D,Poor Pursuance
साई Rai,7,No,82,45,57,B,Average Performance
Akum Srivastav,1,Yes,42,14,95,D,Poor Pursuance
Bhole Seth,3,Yes,38,10,93,D,Poor Pursuance
Kashika Yadav,1,Yes,21,16,86,D,Poor Pursuance
Wasim Seth,2,Yes,16,70,46,D,Poor Pursuance
Dikshit Thakur,1,Yes,70,95,36,B,Average Performance
Narahari Pandit,10,No,46,15,70,D,Poor Pursuance
Sonaton Kumari,7,Yes,62,57,35,C,Below Average Achivement
Harichandana Divedi,3,No,87,71,38,B,Average Performance
Gayasuddin Kumar,6,Yes,49,76,33,C,Below Average Achivement
Monoj Divedi,1,Yes,86,85,71,B+,Good Pursuance
Kadir Pandey,10,Yes,92,93,76,A,Very Good Achivement
Bhagavaan Gupta,1,Yes,63,82,89,B+,Good Pursuance
Rausan Divedi,1,Yes,90,33,58,C,Below Average Achivement
Vikaram Vishwakarma,1,Yes,83,65,50,B,Average Performance
Girik Pandit,2,No,58,38,44,D,Poor Pursuance
Jusab Thakur,3,Yes,76,16,12,D,Poor Pursuance
Krushna Chandra Singh,6,No,22,19,10,F,Failed
Arivazhagan Maurrya,9,No,44,90,25,C,Below Average Achivement
Vimalraj Seth,3,Yes,72,59,36,C,Below Average Achivement
Dhiya Kumar,4,Yes,30,45,66,D,Poor Pursuance
Rana Ji Rao,2,Yes,99,93,28,B+,Good Pursuance
Rajindar Thakur,4,Yes,59,51,53,C,Below Average Achivement
Laljit Gupta,9,Yes,18,27,95,D,Poor Pursuance
Aftab Vishwakarma,7,No,35,77,16,D,Poor Pursuance
Shankarappa Pandit,4,Yes,16,57,42,D,Poor Pursuance
विकास Yadav,7,No,57,23,93,C,Below Average Achivement
Periya Singh,2,Yes,94,47,12,C,Below Average Achivement
Pardesi Yadav,8,Yes,32,78,44,C,Below Average Achivement
Itoo Kumar,2,Yes,22,97,16,D,Poor Pursuance
Rathika Tiwari,5,No,54,12,48,D,Poor Pursuance
Dass Devi,8,Yes,89,19,68,C,Below Average Achivement
Dhurendra Seth,6,No,90,51,89,B+,Good Pursuance
Bhanwar Lal Rajput,8,No,56,49,33,D,Poor Pursuance
Malli Maurrya,7,Yes,72,46,92,B,Average Performance
Chandradeep Sonkar,10,No,24,26,55,D,Poor Pursuance
Prience Vishwakarma,4,No,16,19,24,F,Failed
Arham Rai,3,Yes,54,82,11,D,Poor Pursuance
Akku Rao,3,Yes,24,37,25,F,Failed
Hiralal Thakur,8,Yes,28,18,84,D,Poor Pursuance
Nasreen Rai,8,Yes,13,18,92,D,Poor Pursuance
रामदास Seth,5,Yes,38,23,76,D,Poor Pursuance
Renuka Rai,4,No,35,78,84,B,Average Performance
Manda Gupta,6,No,92,62,32,B,Average Performance
Sonatan Kumari,4,No,72,34,21,D,Poor Pursuance
Abirami Mishra,7,No,92,31,96,B+,Good Pursuance
Md Zubair Pandey,4,No,33,11,55,D,Poor Pursuance
Prayas Devi,3,No,38,14,27,F,Failed
Durlav Gupta,3,Yes,73,10,13,F,Failed
Munib Singh,6,No,28,66,92,B,Average Performance
Trideep Mishra,2,No,87,77,70,B+,Good Pursuance
Aswath Yadav,9,Yes,38,57,46,D,Poor Pursuance
Priya Sharma Tiwari,5,No,32,53,50,D,Poor Pursuance
Prakriti Pandit,5,No,57,36,33,D,Poor Pursuance
Ankul Mishra,9,No,44,71,33,D,Poor Pursuance
Ghalib Rao,3,No,65,93,27,B,Average Performance
Shravan Kumar Yadav,2,Yes,91,55,71,B+,Good Pursuance
Keshab Gupta,3,Yes,99,49,92,B+,Good Pursuance
Moin Pandey,9,No,89,86,49,B+,Good Pursuance
Kailash Singh Rai,1,Yes,52,82,40,C,Below Average Achivement
Sonalal Singh,10,No,88,17,36,D,Poor Pursuance
Bali Rao,1,No,98,62,26,B,Average Performance
Shishpal Gupta,10,No,95,42,100,B+,Good Pursuance
Dhrubo Rao,4,Yes,91,78,66,B+,Good Pursuance
Azimuddin Rao,10,Yes,37,77,93,B,Average Performance
Er Sagar Gupta,3,No,33,54,93,C,Below Average Achivement
Sabu Tiwari,10,No,65,45,76,B,Average Performance
Subash Kumar Yadav,2,No,43,53,64,C,Below Average Achivement
Dulal Gupta,10,No,98,25,93,B+,Good Pursuance
Umair Rao,5,No,56,86,15,C,Below Average Achivement
Wahidur Sonkar,3,No,77,74,11,C,Below Average Achivement
Riyajul Maurrya,8,No,75,10,62,D,Poor Pursuance
Chakori Gupta,9,Yes,55,36,41,D,Poor Pursuance
Ranga Sonkar,2,Yes,41,78,42,C,Below Average Achivement
Gitarani Yadav,1,No,67,10,82,C,Below Average Achivement
Nishit Srivastav,6,Yes,41,16,66,D,Poor Pursuance
Arunita Srivastav,1,No,49,45,73,C,Below Average Achivement
Karu Mishra,9,No,72,68,78,B+,Good Pursuance
Vikey Divedi,1,Yes,80,62,57,B,Average Performance
Niranjan Kumar Gupta,8,No,96,65,29,B,Average Performance
Rajbir Rai,2,Yes,64,32,65,C,Below Average Achivement
Tilak Raj Yadav,1,Yes,94,23,66,B,Average Performance
Saibabu Singh,10,Yes,96,39,97,B+,Good Pursuance
Santoh Rajput,6,Yes,85,19,38,D,Poor Pursuance
Biswanath Seth,7,No,63,40,12,D,Poor Pursuance
Chiti Singh,10,No,26,74,32,D,Poor Pursuance
Mohibur Sonkar,9,No,77,96,53,B+,Good Pursuance
नागनाथ Yadav,4,Yes,59,74,60,B,Average Performance
P. K Rao,8,No,35,61,14,D,Poor Pursuance
Lokesh Kumar Rao,9,No,22,33,68,D,Poor Pursuance
Viresh Sonkar,5,Yes,26,90,99,B+,Good Pursuance
Bablesh Pandey,8,No,75,31,100,B,Average Performance
Asmot Rai,2,No,15,33,45,F,Failed
Kuppusamy Divedi,10,No,21,93,70,B,Average Performance
Bubu Rajput,9,Yes,24,33,20,F,Failed
Phool Pratap,1,No,38,68,93,B,Average Performance
Hardevsinh Maurrya,9,Yes,25,29,98,D,Poor Pursuance
Aditi Tiwari,2,Yes,17,50,11,F,Failed
Safik Rai,4,Yes,28,39,95,C,Below Average Achivement
Mang Tiwari,2,No,88,88,30,B,Average Performance
Shankara Rao,8,No,61,19,40,D,Poor Pursuance
Umamaheswari Kumari,2,Yes,25,87,99,B,Average Performance
Aj Gupta,7,Yes,38,73,93,B,Average Performance
Pooja Seth,4,No,43,87,56,B,Average Performance
Bhabhor Yadav,1,No,50,76,17,D,Poor Pursuance
Jaimini Pratap,2,No,63,98,65,B+,Good Pursuance
Gulshan Yadav,2,Yes,13,41,10,F,Failed
Rakesh Kumari,3,No,21,21,61,D,Poor Pursuance
Seng Mishra,10,Yes,26,73,96,B,Average Performance
Dhanadeepa Singh,3,Yes,57,27,99,B,Average Performance
Sukhdeo Rao,9,No,22,76,30,D,Poor Pursuance
Sunil Yadav Divedi,6,No,19,13,10,F,Failed
Ziyan Seth,3,Yes,14,89,70,C,Below Average Achivement
Pavan Kumar Kumari,8,Yes,59,52,28,D,Poor Pursuance
Nitesh Singh Sonkar,9,No,37,27,84,D,Poor Pursuance
Ramashankar Sonkar,3,Yes,57,35,98,B,Average Performance
Depali Gupta,3,Yes,80,41,61,C,Below Average Achivement
Jinti Srivastav,1,Yes,44,85,65,B,Average Performance
Mustufa Sonkar,8,Yes,88,31,78,B,Average Performance
Rakshith Rai,6,Yes,59,72,56,B,Average Performance
Rahees Gupta,7,No,44,33,35,D,Poor Pursuance
Dharu Kumar,9,No,26,78,72,C,Below Average Achivement
Thirumalai Tiwari,5,No,91,44,60,B,Average Performance
Ajitkumar Divedi,3,Yes,79,18,28,D,Poor Pursuance
Sweety Pandey,2,Yes,56,75,90,B+,Good Pursuance
Boya Maurya,8,No,97,78,93,A,Very Good Achivement
Shravan Maurrya,2,No,56,47,19,D,Poor Pursuance
Aseem Rajput,1,Yes,82,91,98,A,Very Good Achivement
Kasim Singh,10,Yes,43,25,69,D,Poor Pursuance
Nithin Yadav,5,No,32,90,57,C,Below Average Achivement
Mohibul Pandit,10,Yes,17,85,11,D,Poor Pursuance
Ramendra Mishra,8,No,25,34,62,D,Poor Pursuance
Rebal Thakur,5,Yes,28,12,85,D,Poor Pursuance
Nimi Singh,9,Yes,89,59,94,B+,Good Pursuance
Aasharam Vishwakarma,3,No,66,58,79,B,Average Performance
Viraj Rajput,2,No,60,47,69,C,Below Average Achivement
Riya Singh Divedi,7,Yes,64,53,70,B,Average Performance
Triveni Maurya,5,No,55,58,23,D,Poor Pursuance
Mujaffar Rai,5,Yes,57,72,23,D,Poor Pursuance
Krishan Kant Sonkar,2,Yes,94,17,17,D,Poor Pursuance
Sumith Maurrya,4,No,92,82,77,A,Very Good Achivement
Madhu Yadav,3,Yes,53,25,43,D,Poor Pursuance
Rohet Maurya,9,Yes,45,63,76,B,Average Performance
Manideep Rajput,3,No,36,86,36,C,Below Average Achivement
Shokin Tiwari,6,No,87,69,82,B+,Good Pursuance
Yuraj Srivastav,4,Yes,41,96,36,C,Below Average Achivement
Kuldip Pandey,5,Yes,35,97,95,B+,Good Pursuance
Chaman Srivastav,5,Yes,51,37,72,C,Below Average Achivement
Asita Divedi,5,Yes,66,17,61,D,Poor Pursuance
Satendar Pratap,5,Yes,55,32,99,B,Average Performance
S H Kumari,7,Yes,52,41,75,C,Below Average Achivement
Vibhash Divedi,5,Yes,40,27,73,D,Poor Pursuance
Pratap Kumar Tiwari,4,No,38,49,28,D,Poor Pursuance
Kunwar Sonkar,5,Yes,13,74,100,B,Average Performance
Gorakhnath Pandey,8,No,72,32,20,D,Poor Pursuance
Joyanta Singh,10,Yes,25,66,81,C,Below Average Achivement
Jayna Mishra,2,Yes,39,19,69,D,Poor Pursuance
Jagmeet Devi,9,Yes,42,39,27,D,Poor Pursuance
Md Bablu Srivastav,10,Yes,79,100,25,B,Average Performance
Basamma Singh,4,No,54,97,62,B+,Good Pursuance
Saikh Mishra,6,Yes,86,16,97,B,Average Performance
Dalpati Gupta,2,Yes,52,98,11,C,Below Average Achivement
Sahalam Seth,1,Yes,66,96,36,B,Average Performance
Jeki Rai,3,Yes,95,23,77,B,Average Performance
Ramjibhai Thakur,6,No,46,52,84,C,Below Average Achivement
Sreeja Divedi,10,No,97,97,68,A,Very Good Achivement
Muanpuii Srivastav,10,Yes,96,64,30,B,Average Performance
Navghan Pratap,7,No,100,90,69,A,Very Good Achivement
રાજુ Sonkar,6,No,54,60,50,C,Below Average Achivement
Rohita Kumar,3,No,64,35,66,C,Below Average Achivement
Sayaji Kumar,4,No,10,32,89,D,Poor Pursuance
Reyaz Divedi,7,Yes,39,73,85,B,Average Performance
Suka Vishwakarma,6,No,48,32,67,D,Poor Pursuance
Swarnali Tiwari,5,Yes,24,17,43,F,Failed
Aish Kumar,3,Yes,25,27,58,D,Poor Pursuance
Anveshita Vishwakarma,1,Yes,18,51,77,D,Poor Pursuance
Barish Seth,2,No,25,56,55,D,Poor Pursuance
Vengat Kumari,1,No,66,33,66,C,Below Average Achivement
Chandrama Kumar,9,No,24,29,96,D,Poor Pursuance
Channabasava Tiwari,9,Yes,15,17,75,D,Poor Pursuance
Sham Singh,10,Yes,43,60,28,D,Poor Pursuance
Santush Mishra,1,No,96,12,72,C,Below Average Achivement
Mondeep Rai,8,No,30,14,43,F,Failed
Oormila Tiwari,2,Yes,87,22,79,B,Average Performance
Ibomcha Pratap,9,No,51,18,30,D,Poor Pursuance
Milan Yadav,1,No,85,28,69,C,Below Average Achivement
Kamalesh Divedi,10,Yes,48,98,12,C,Below Average Achivement
Ekaaksh Vishwakarma,8,Yes,54,10,46,D,Poor Pursuance
Shanoor Vishwakarma,4,Yes,99,26,71,B,Average Performance
Arij Maurya,5,No,20,40,28,F,Failed
Bhagbat Singh,2,No,65,52,64,C,Below Average Achivement
Jaleel Rai,8,No,86,69,31,B,Average Performance
Prem Kumar Divedi,10,No,86,99,67,A,Very Good Achivement
Bajinder Singh,7,Yes,54,73,43,C,Below Average Achivement
Janam Thakur,7,No,61,11,48,D,Poor Pursuance
Nimi Rajput,5,No,64,25,37,D,Poor Pursuance
Chella Rao,7,No,95,21,85,B,Average Performance
Kanaiya Pandey,3,Yes,68,18,43,D,Poor Pursuance
Nasirul Thakur,2,Yes,72,31,45,D,Poor Pursuance
Dablu Kumar Sonkar,5,No,82,49,89,B+,Good Pursuance
मनीष Singh,2,Yes,59,73,84,B+,Good Pursuance
Anirudh Sonkar,1,Yes,30,77,76,B,Average Performance
Ranjit Maurya,1,No,55,90,63,B,Average Performance
Shamsher Tiwari,5,No,73,77,12,C,Below Average Achivement
Kavindra Yadav,8,Yes,59,77,32,C,Below Average Achivement
Trivendra Pandit,9,No,98,16,72,B,Average Performance
Rajeswari Gupta,9,Yes,62,89,27,C,Below Average Achivement
Vismay Kumari,9,Yes,69,75,54,B,Average Performance
Gonu Seth,1,Yes,93,70,17,C,Below Average Achivement
विनोद कुमार Vishwakarma,3,No,94,75,97,A,Very Good Achivement
Raki Mishra,5,No,86,18,88,B,Average Performance
Sum Thakur,3,No,13,47,31,F,Failed
Rajend Singh,9,Yes,22,62,51,D,Poor Pursuance
Habul Pandey,5,No,25,10,100,D,Poor Pursuance
Prabal Divedi,10,No,99,23,83,B,Average Performance
Manthan Tiwari,3,Yes,35,30,79,D,Poor Pursuance
Surya Kanta Maurya,4,No,74,18,88,C,Below Average Achivement
Ajarul Rai,9,Yes,15,27,71,D,Poor Pursuance
Kasish Rai,4,No,22,72,68,C,Below Average Achivement
Bhavik Maurrya,5,Yes,72,56,75,B,Average Performance
Sanjay Patel Kumari,2,Yes,36,38,97,C,Below Average Achivement
Sonia Gupta,7,Yes,62,44,11,D,Poor Pursuance
Babu Ram Mishra,9,Yes,65,75,47,B,Average Performance
Chatan Rao,4,No,29,59,66,C,Below Average Achivement
Chaoba Maurya,7,Yes,77,36,79,B,Average Performance
Tanish Divedi,1,Yes,65,65,70,B,Average Performance
Ganesh Chandra Thakur,7,Yes,88,66,82,B+,Good Pursuance
Bali Tiwari,5,Yes,70,54,80,B,Average Performance
Danger Rajput,6,Yes,98,79,79,A,Very Good Achivement
Kausik Thakur,3,No,21,100,30,D,Poor Pursuance
Rajveer Singh Rao,8,No,19,84,68,C,Below Average Achivement
Bistu Seth,2,Yes,96,27,27,D,Poor Pursuance
Murtuza Gupta,10,No,68,56,20,D,Poor Pursuance
Kuljeet Rajput,1,Yes,83,69,70,B+,Good Pursuance
Toufiq Devi,6,No,44,58,83,B,Average Performance
Akhtar Yadav,8,No,55,40,18,D,Poor Pursuance
Sanaullah Rao,3,No,37,31,75,D,Poor Pursuance
Ajitabh Divedi,9,No,55,43,95,B,Average Performance
Md Gulam Divedi,6,Yes,32,57,85,C,Below Average Achivement
Kayal Tiwari,10,Yes,41,33,43,D,Poor Pursuance
Praveen Kumar Tiwari,7,Yes,81,79,72,B+,Good Pursuance
Aja Kumari,10,Yes,68,69,45,C,Below Average Achivement
Pritha Pandey,5,Yes,87,11,34,D,Poor Pursuance
Premraj Rai,9,No,17,91,50,C,Below Average Achivement
Srisha Singh,10,No,60,76,95,B+,Good Pursuance
Raosaheb Rajput,4,Yes,12,100,12,D,Poor Pursuance
Deshmukh Kumar,3,Yes,92,22,47,C,Below Average Achivement
Rajrani Pratap,8,Yes,33,18,48,D,Poor Pursuance
Akbar Ali Tiwari,9,No,99,44,63,B,Average Performance
Navneet Singh,5,Yes,56,77,49,C,Below Average Achivement
Shuvam Maurrya,4,No,11,28,39,F,Failed
विनायक Divedi,5,Yes,49,71,70,B,Average Performance
Dwithun Gupta,8,Yes,22,89,66,C,Below Average Achivement
Banti Kumar Rajput,5,No,100,24,45,C,Below Average Achivement
गोविन्द Sonkar,9,Yes,88,94,19,B,Average Performance
Ravi Verma Divedi,10,Yes,75,50,66,B,Average Performance
Mahend Devi,5,No,72,90,70,B+,Good Pursuance
Arshd Rajput,8,No,37,56,13,D,Poor Pursuance
Aavesh Rai,8,Yes,75,92,70,B+,Good Pursuance
Shubhendu Devi,1,Yes,35,68,66,C,Below Average Achivement
Reshav Singh,10,No,95,16,46,C,Below Average Achivement
Rasila Seth,8,No,85,49,96,B+,Good Pursuance
Kesang Yadav,9,No,68,26,27,D,Poor Pursuance
Zabi Tiwari,5,Yes,90,84,44,B+,Good Pursuance
Annapurna Maurrya,8,No,38,19,37,F,Failed
Jat Divedi,4,Yes,56,23,33,D,Poor Pursuance
Chintala Mishra,7,Yes,37,76,64,C,Below Average Achivement
Babar Thakur,4,Yes,93,86,99,A+,Excellent Performance
Bhima Thakur,3,Yes,81,10,41,D,Poor Pursuance
Parvathy Srivastav,1,Yes,36,35,21,F,Failed
Pappu Lal Sonkar,2,Yes,70,65,19,C,Below Average Achivement
Chintu Seth,8,No,47,17,62,D,Poor Pursuance
Sanjau Srivastav,7,No,49,23,87,C,Below Average Achivement
Md Adil Seth,9,No,61,88,67,B+,Good Pursuance
Parna Pandit,7,Yes,30,43,70,D,Poor Pursuance
सुरेखा Thakur,7,Yes,50,91,32,C,Below Average Achivement
Javedkhan Pandey,10,Yes,50,82,11,D,Poor Pursuance
Thirumala Pratap,10,Yes,55,53,22,D,Poor Pursuance
Mehbub Singh,6,No,45,91,99,B+,Good Pursuance
Vicky Kumar Pandit,8,No,45,97,10,D,Poor Pursuance
Radhe Shyam Seth,8,No,55,71,29,C,Below Average Achivement
Prabodh Tiwari,9,No,36,97,43,C,Below Average Achivement
Kanthi Maurya,3,Yes,77,96,25,B,Average Performance
Mahadeb Sonkar,3,No,82,50,51,B,Average Performance
Kuldeep Kumar Mishra,9,Yes,25,10,92,D,Poor Pursuance
Abuthahir Maurrya,9,No,70,100,95,A,Very Good Achivement
Sreelakshmi Kumar,7,No,40,73,65,C,Below Average Achivement
Pool Yadav,2,Yes,67,19,45,D,Poor Pursuance
Sahanaj Kumari,8,Yes,23,67,29,D,Poor Pursuance
Asit Kumar Singh,5,Yes,36,11,78,D,Poor Pursuance
Sumanth Rajput,2,Yes,88,83,93,A,Very Good Achivement
Rathi Pandey,10,Yes,42,13,30,F,Failed
Sumesh Rai,2,No,24,51,66,D,Poor Pursuance
Sharada Seth,8,No,16,53,51,D,Poor Pursuance
Md Faizan Seth,8,No,83,66,71,B+,Good Pursuance
Sudev Seth,6,Yes,74,89,74,B+,Good Pursuance
Suraj Yadav Rajput,9,Yes,40,43,42,D,Poor Pursuance
Smeer Divedi,3,Yes,32,13,88,D,Poor Pursuance
Nandita Divedi,7,No,27,95,73,B,Average Performance
Akasha Mishra,9,No,100,18,29,D,Poor Pursuance
विशाल Pandit,7,Yes,24,69,25,D,Poor Pursuance
Kishorbhai Rao,4,Yes,66,24,63,C,Below Average Achivement
Ajaykumar Mishra,5,Yes,16,14,40,F,Failed
Ronu Maurrya,9,Yes,21,43,10,F,Failed
Bhabani Rao,5,No,88,40,12,D,Poor Pursuance
Gopesh Divedi,7,Yes,50,28,75,C,Below Average Achivement
Charak Yadav,10,No,88,63,94,A,Very Good Achivement
Kaur Srivastav,7,No,51,86,35,C,Below Average Achivement
Makar Thakur,3,Yes,99,56,38,B,Average Performance
Tarang Seth,3,No,61,62,26,D,Poor Pursuance
Sikha Rajput,3,No,68,71,86,B+,Good Pursuance
Anshul Divedi,10,No,76,52,100,B+,Good Pursuance
Mohd Salman Seth,6,No,32,19,73,D,Poor Pursuance
Birendar Srivastav,4,No,38,86,61,B,Average Performance
Viksh Yadav,7,Yes,61,99,11,C,Below Average Achivement
Ram Bahadur Yadav,3,Yes,29,63,94,B,Average Performance
किसन Kumar,10,Yes,22,35,65,D,Poor Pursuance
Anoop Singh Kumar,8,No,30,47,27,D,Poor Pursuance
Eknath Pandey,7,Yes,81,47,51,C,Below Average Achivement
Koshal Rao,8,No,89,99,82,A,Very Good Achivement
Md Sagir Gupta,4,No,57,85,43,B,Average Performance
Suribabu Rai,8,No,12,27,13,F,Failed
Ansh Pratap,1,No,79,63,17,C,Below Average Achivement
Samiron Sonkar,1,No,44,35,43,D,Poor Pursuance
Iti Thakur,8,Yes,43,35,68,D,Poor Pursuance
Jayasurya Pandey,6,No,52,43,94,B,Average Performance
Pushpendra Kumar Rao,3,No,11,52,36,D,Poor Pursuance
அன்பு Tiwari,4,Yes,21,95,44,C,Below Average Achivement
Balai Pandit,5,Yes,60,36,13,D,Poor Pursuance
Ajas Tiwari,8,No,42,47,72,C,Below Average Achivement
Sumo Vishwakarma,10,Yes,75,44,37,C,Below Average Achivement
Subash Chandra Rai,3,Yes,92,21,56,C,Below Average Achivement
Sakinder Yadav,3,Yes,27,13,81,D,Poor Pursuance
Akbar Khan Devi,6,Yes,75,38,28,D,Poor Pursuance
Yasoda Sonkar,2,No,11,68,15,F,Failed
Muktiyar Yadav,6,No,13,12,74,D,Poor Pursuance
Pyarelal Sonkar,1,Yes,79,96,45,B+,Good Pursuance
Dalimi Pandey,2,No,25,67,69,C,Below Average Achivement
रामनिवास Pandit,7,Yes,23,16,24,F,Failed
Lokash Srivastav,8,Yes,83,72,21,C,Below Average Achivement
Laik Thakur,10,Yes,56,44,27,D,Poor Pursuance
Ilaben Vishwakarma,8,No,46,80,66,B,Average Performance
Prodip Mishra,3,No,40,35,93,C,Below Average Achivement
Drucilla Divedi,3,No,31,25,13,F,Failed
Pra Rajput,5,No,14,51,11,F,Failed
Satvinder Divedi,7,Yes,82,11,12,D,Poor Pursuance
Yallaling Rai,1,Yes,42,68,98,B,Average Performance
Aditaya Thakur,7,No,31,62,69,C,Below Average Achivement
Balakram Tiwari,10,Yes,91,22,36,D,Poor Pursuance
Lalsinh Divedi,4,Yes,53,30,64,D,Poor Pursuance
Rudransh Rao,2,No,34,33,17,F,Failed
Mallayya Singh,9,No,82,59,40,C,Below Average Achivement
Pardip Kumar Tiwari,3,Yes,39,12,47,F,Failed
Mashak Gupta,6,No,61,88,45,B,Average Performance
Vikramkumar Rajput,5,Yes,47,39,82,C,Below Average Achivement
Prince Raj Maurrya,1,No,90,72,62,B+,Good Pursuance
Rk Rao,4,Yes,31,13,79,D,Poor Pursuance
Satyabhan Singh,7,No,53,87,90,B+,Good Pursuance
